2025.09.22 21:24:57 INFO  no build target found for /home/leo/sergeyg/modules/fiscal-svc/src/main/scala/fiscalsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:24:57 WARN  no build target for: /home/leo/sergeyg/modules/fiscal-svc/src/main/scala/fiscalsvc/Main.scala
2025.09.22 21:24:57 INFO  no build target found for /home/leo/sergeyg/modules/fiscal-svc/src/main/scala/fiscalsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:25:01 INFO  no build target found for /home/leo/sergeyg/modules/reporting-svc/src/main/scala/reportingsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:25:01 INFO  no build target found for /home/leo/sergeyg/modules/reporting-svc/src/main/scala/reportingsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:25:01 INFO  no build target found for /home/leo/sergeyg/modules/reporting-svc/src/main/scala/reportingsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:25:01 INFO  no build target found for /home/leo/sergeyg/modules/reporting-svc/src/main/scala/reportingsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:25:01 WARN  no build target for: /home/leo/sergeyg/modules/reporting-svc/src/main/scala/reportingsvc/Main.scala
2025.09.22 21:25:07 INFO  no build target found for /home/leo/sergeyg/modules/email-svc/src/main/scala/emailsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:25:07 INFO  no build target found for /home/leo/sergeyg/modules/email-svc/src/main/scala/emailsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:25:07 INFO  no build target found for /home/leo/sergeyg/modules/email-svc/src/main/scala/emailsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:25:07 WARN  no build target for: /home/leo/sergeyg/modules/email-svc/src/main/scala/emailsvc/Main.scala
2025.09.22 21:25:07 INFO  no build target found for /home/leo/sergeyg/modules/email-svc/src/main/scala/emailsvc/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:26:28 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:26:28 WARN  no build target for: /home/leo/sergeyg/build.sbt
2025.09.22 21:26:28 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:26:37 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:26:37 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:26:37 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:26:37 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala
2025.09.22 21:26:37 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:26:47 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:26:47 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/Main.scala
2025.09.22 21:26:47 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/Main.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:27:02 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:27:02 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:27:02 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:27:02 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala
2025.09.22 21:27:02 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/project/plugins.sbt
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/build.sbt
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/common/src/main/scala/common/Config.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/common/src/main/scala/common/Logging.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/machines-svc/src/main/scala/machinessvc/Main.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/Main.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/admin-api/src/main/scala/adminapi/Main.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/lg-adapter/src/main/scala/lgadapter/Main.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/fiscal-svc/src/main/scala/fiscalsvc/Main.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/api-gateway/src/main/scala/apigateway/Main.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/doser-gateway/src/main/scala/dosergateway/Main.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/payments-svc/src/main/scala/paymentssvc/Main.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/email-svc/src/main/scala/emailsvc/Main.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/reporting-svc/src/main/scala/reportingsvc/Main.scala
2025.09.22 21:27:13 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala
2025.09.22 21:28:25 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:28:25 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:28:25 WARN  no build target for: /home/leo/sergeyg/build.sbt
2025.09.22 21:28:30 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:28:30 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala
2025.09.22 21:28:30 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/main/scala/usersapi/HttpServer.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:28:33 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:28:33 INFO  no build target found for /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:28:33 WARN  no build target for: /home/leo/sergeyg/modules/users-api/src/test/scala/usersapi/HealthSpec.scala
2025.09.22 21:28:47 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:28:47 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:28:47 WARN  no build target for: /home/leo/sergeyg/build.sbt
2025.09.22 21:29:07 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:29:07 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.22 21:29:07 WARN  no build target for: /home/leo/sergeyg/build.sbt
2025.09.22 21:29:25 INFO  no build target found for /home/leo/sergeyg/build.sbt. Using presentation compiler with project's scala-library version: 3.3.6
